interval_type,section,group,metric,denominator,N,mean,std,SE,CI_low,CI_high,events,probability
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage3_Site3,ending_inventory_kg,ACTIVE_PATHS,7905,33.286459967,15.9317119259,0.179189066857,32.935249396,33.6376705381,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage3_Site4,ending_inventory_kg,ACTIVE_PATHS,7905,61.6221464077,14.1305584964,0.158930917337,61.3106418097,61.9336510057,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage4,production_kg,ACTIVE_PATHS,5854,95.426785121,24.2633294965,0.317120295094,94.8052293426,96.0483408994,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage4,cumulative_production_kg,ACTIVE_PATHS,5854,379.835574499,44.4482812162,0.58093643157,378.696939093,380.974209905,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage4,electrolyzer_utilization,ACTIVE_PATHS,5854,0.794428780561,0.20199242005,0.00264002909668,0.789254323532,0.799603237591,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage4_Site1,production_kg,ACTIVE_PATHS,5854,44.1454140196,5.66793894791,0.0740796300028,44.0002179448,44.2906100944,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage4_Site2,production_kg,ACTIVE_PATHS,5854,21.3251513578,9.71261683931,0.126943333093,21.0763424249,21.5739602906,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage4_Site3,production_kg,ACTIVE_PATHS,5854,9.58676952388,7.73188509948,0.101055285291,9.38870116471,9.78483788306,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage4_Site4,production_kg,ACTIVE_PATHS,5854,20.3694502198,6.58164673531,0.0860217372562,20.2008476148,20.5380528248,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage4,beginning_inventory_kg,ACTIVE_PATHS,5854,312.557338808,43.0307097808,0.562408855956,311.45501745,313.659660165,,
