terminal_a,terminal_loc,terminal_state_id,path_count,path_share,metric,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
2.0,2.0,71.0,692,0.0692,terminal_inventory_site4_kg,82.995690727495,43.12537301007019,-39.870317717424655,-41.69177851546309,-38.04885691938622,NO
2.0,2.0,71.0,692,0.0692,terminal_target_site4_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,2.0,71.0,692,0.0692,terminal_gap_site4_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,2.0,71.0,692,0.0692,terminal_surplus_site4_kg,82.995690727495,43.12537301007019,-39.870317717424655,-41.69177851546309,-38.04885691938622,NO
2.0,2.0,71.0,692,0.0692,site4_cumulative_production_kg,79.70551182851803,47.15369596931892,-32.55181585919917,-33.12990975778434,-31.97372196061401,NO
2.0,2.0,71.0,692,0.0692,site4_last_active_production_kg,14.719303923684091,10.59956181622775,-4.119742107456468,-4.540436067797651,-3.6990481471152856,NO
2.0,3.0,79.0,632,0.0632,production_kg,359.224370670791,186.20010551261578,-173.02426515817552,-176.0986008569241,-169.94992945942695,NO
2.0,3.0,79.0,632,0.0632,stage1_production_kg,120.12000000000035,109.98000000000111,-10.140000000000091,-10.140000000000098,-10.140000000000084,NO
2.0,3.0,79.0,632,0.0632,stage2_6_production_kg,239.10437067079081,76.22010551261577,-162.8842651581754,-165.95860085692397,-159.80992945942683,NO
2.0,3.0,79.0,632,0.0632,last_active_stage_production_kg,59.718225802642465,30.796922923773653,-28.921302878868815,-30.797916755200575,-27.044689002537055,NO
2.0,3.0,79.0,632,0.0632,terminal_inventory_kg,333.55856432649597,158.9889655090999,-174.56959881739607,-177.48029970005354,-171.6588979347386,NO
2.0,3.0,79.0,632,0.0632,terminal_target_kg,11.017835675050481,0.0,-11.017835675050481,-11.01783567505049,-11.017835675050472,NO
2.0,3.0,79.0,632,0.0632,terminal_gap_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,3.0,79.0,632,0.0632,terminal_surplus_kg,322.5407286514453,158.9889655090999,-163.55176314234535,-166.46246402500282,-160.64106225968789,NO
2.0,3.0,79.0,632,0.0632,ordinary_shortage_kg,2.2118154393888285,0.6664817801682613,-1.5453336592205666,-2.1330967647406043,-0.9575705537005288,NO
2.0,3.0,79.0,632,0.0632,htt_kg,23.27491805521742,16.428435460737617,-6.846482594479803,-8.665986803853047,-5.02697838510656,NO
2.0,3.0,79.0,632,0.0632,operating_cost_yuan,70886.75321400161,64154.60388555246,-6732.149328449207,-6852.8712190885635,-6611.427437809851,NO
2.0,3.0,79.0,632,0.0632,total_objective_yuan,70886.75321400161,64154.60388555246,-6732.149328449207,-6852.8712190885635,-6611.427437809851,NO
2.0,3.0,79.0,632,0.0632,terminal_inventory_site1_kg,149.97951893524652,66.75148946407899,-83.22802947116772,-84.90067910336259,-81.55537983897284,NO
2.0,3.0,79.0,632,0.0632,terminal_target_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,3.0,79.0,632,0.0632,terminal_gap_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,3.0,79.0,632,0.0632,terminal_surplus_site1_kg,149.97951893524652,66.75148946407899,-83.22802947116772,-84.90067910336259,-81.55537983897284,NO
2.0,3.0,79.0,632,0.0632,site1_cumulative_production_kg,162.248334660869,81.5897663399218,-80.65856832094735,-82.10758685745897,-79.20954978443574,NO
2.0,3.0,79.0,632,0.0632,site1_last_active_production_kg,31.17891084451146,14.795591495203965,-16.38331934930765,-17.382055469180514,-15.384583229434787,NO
2.0,3.0,79.0,632,0.0632,terminal_inventory_site2_kg,84.82099710642174,22.78891799344801,-62.0320791129737,-63.827583365321466,-60.23657486062593,NO
2.0,3.0,79.0,632,0.0632,terminal_target_site2_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,3.0,79.0,632,0.0632,terminal_gap_site2_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,3.0,79.0,632,0.0632,terminal_surplus_site2_kg,84.82099710642174,22.78891799344801,-62.0320791129737,-63.827583365321466,-60.23657486062593,NO
2.0,3.0,79.0,632,0.0632,site2_cumulative_production_kg,78.22785869053835,33.20594804513201,-45.02191064540628,-46.10780803758843,-43.93601325322413,NO
2.0,3.0,79.0,632,0.0632,site2_last_active_production_kg,10.470736730088113,2.4440232078692956,-8.02671352221883,-8.882271071314655,-7.171155973123007,NO
2.0,3.0,79.0,632,0.0632,terminal_inventory_site3_kg,21.085358334385646,26.781030028706734,5.695671694321066,4.160984827234086,7.230358561408047,NO
2.0,3.0,79.0,632,0.0632,terminal_target_site3_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,3.0,79.0,632,0.0632,terminal_gap_site3_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,3.0,79.0,632,0.0632,terminal_surplus_site3_kg,21.085358334385646,26.781030028706734,5.695671694321066,4.160984827234086,7.230358561408047,NO
2.0,3.0,79.0,632,0.0632,site3_cumulative_production_kg,40.75965774147827,25.58589401231216,-15.173763729166101,-16.047194868577588,-14.300332589754614,NO
2.0,3.0,79.0,632,0.0632,site3_last_active_production_kg,4.3195020443740395,3.5627284489892808,-0.756773595384757,-1.2327010268309397,-0.2808461639385743,NO
2.0,3.0,79.0,632,0.0632,terminal_inventory_site4_kg,77.67268995044196,42.66752802286608,-35.005161927575735,-36.687737140638816,-33.32258671451265,NO
2.0,3.0,79.0,632,0.0632,terminal_target_site4_kg,11.017835675050481,0.0,-11.017835675050481,-11.01783567505049,-11.017835675050472,NO
2.0,3.0,79.0,632,0.0632,terminal_gap_site4_kg,0.0,0.0,0.0,0.0,0.0,NO
