method,bus,global_hour,observed_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,unit_note
chi2_eta003,5,22,7936,0.967218131014878,0.965784714025688,0.965784714025689,0.967965983227132,0.965784714025688,0,0,p.u.
chi2_eta003,5,23,7936,0.966032814508149,0.966032428021615,0.966032428021615,0.966032428021616,0.966032428021615,0,0,p.u.
chi2_eta003,5,24,7936,0.967912211295246,0.967912211295263,0.967912211295263,0.967912211295263,0.967912211295263,0,0,p.u.
chi2_eta003,5,25,5788,0.971220524188843,0.971166660409153,0.971166660409153,0.971166660409153,0.971166660409153,0,0,p.u.
chi2_eta003,5,26,5788,0.972605133123194,0.972558090558768,0.972558090558768,0.972558090558768,0.972558090558768,0,0,p.u.
chi2_eta003,5,27,5788,0.973067971763837,0.973013191436681,0.973013191436681,0.973013191436681,0.973013191436681,0,0,p.u.
chi2_eta003,5,28,5788,0.973537301242452,0.973476342693277,0.973476342693277,0.973476342693277,0.973476342693277,0,0,p.u.
chi2_eta003,5,29,5788,0.973942924222762,0.973757432001302,0.973757432001302,0.973757432001302,0.973757432001302,0,0,p.u.
chi2_eta003,5,30,5788,0.974902380953277,0.974401984773659,0.974401984773659,0.974401984773659,0.974401984773659,0,0,p.u.
chi2_eta003,5,31,5788,0.97615029087983,0.974864476224531,0.974864476224531,0.974864476224531,0.974864476224531,0,0,p.u.
chi2_eta003,5,32,5788,0.976646972846889,0.973476342693277,0.973476342693277,0.977326430879012,0.973476342693277,0,0,p.u.
chi2_eta003,5,33,2476,0.974261715229216,0.970699364251717,0.970699364251717,0.975839016158036,0.970699364251717,0,0,p.u.
chi2_eta003,5,34,2476,0.974934153709918,0.970865841217699,0.970865841217699,0.976004616454731,0.970865841217699,0,0,p.u.
chi2_eta003,5,35,2476,0.973997434071788,0.969868468522266,0.969868468522266,0.975012500397467,0.969868468522266,0,0,p.u.
chi2_eta003,5,36,2476,0.973641192609471,0.96940712206437,0.96940712206437,0.974553589089241,0.96940712206437,0,0,p.u.
chi2_eta003,5,37,2476,0.97352013314823,0.969209347768449,0.969209347768449,0.974356859420273,0.969209347768449,0,0,p.u.
chi2_eta003,5,38,2476,0.973422541145748,0.969050599324973,0.969050599324973,0.974198949778578,0.969050599324973,0,0,p.u.
chi2_eta003,5,39,2476,0.974366426649983,0.970187309109731,0.970187309109731,0.975329659374294,0.970187309109731,0,0,p.u.
chi2_eta003,5,40,2476,0.973877204256492,0.969873908237253,0.969873908237253,0.975017911413426,0.969873908237253,0,0,p.u.
