check,result,detail
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
ledger_numeric,PASS,
ledger_energy,PASS,
ledger_tank,PASS,
ledger_station,PASS,
