time_h,event,station_total_kg,onboard_total_kg,consumed_H2_kg,original_total_kg,mass_error_kg,case
0.4,INTERVAL_END,195.9312153119796,22.763112674903855,5.236887325096146,223.9312153119796,0.0,EXTRA-concurrent-service
0.4,FINAL,195.9312153119796,22.763112674903855,5.236887325096146,223.9312153119796,0.0,EXTRA-concurrent-service
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,FROZEN-INTEGRATION
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,FROZEN-INTEGRATION
0.3,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.3,INSTANT_COMPLETE,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.3777243589743589,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.3777243589743589,INSTANT_COMPLETE,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.5,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.5,INSTANT_COMPLETE,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.6142980504130597,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.6142980504130597,INSTANT_COMPLETE,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.6663813837463931,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.6663813837463931,INSTANT_COMPLETE,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
0.7240736914387008,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,FROZEN-INTEGRATION
