unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,D_finite,D_nonnegative,C_domain_exact,D_persistent_nondecreasing,A_persistent_nonincreasing,C_nondecreasing_while_reachable,failed_line_persistent,closed_road_persistent,source_demand_zero,passed,formal_scenario_sha256
37,30,3,SO-P0030-R03,1,1,1,1,1,1,1,1,1,1,89b747fd21aa59963d9af0b42413f26cf047e27879695fd60c2fdb3c8df3d6f4
37,30,4,SO-P0030-R04,1,1,1,1,1,1,1,1,1,1,187d7ad58a20d552564819328414e1fa98ef0ac6e15225632d595c4ef18c1323
37,30,5,SO-P0030-R05,1,1,1,1,1,1,1,1,1,1,09ee1ab3f80b5e4848e6ce6f163b3303bf44ac3e20fc901772db3e153d6f128b
38,31,1,SO-P0031-R01,1,1,1,1,1,1,1,1,1,1,e2bdf1c4f991f2bd67ce2cdff10461e8706fcd12461b32a572f3ed8253461d70
38,31,2,SO-P0031-R02,1,1,1,1,1,1,1,1,1,1,2b17ed0187602d81afc07bb83a0b17d08b6e9acfbf3ba6f61166bf430770317a
38,31,3,SO-P0031-R03,1,1,1,1,1,1,1,1,1,1,7e37c5a7368cbc2b6ef0bdfea12296f4f3d29d5d3fd82726d6e7feaf36e6cce6
38,31,4,SO-P0031-R04,1,1,1,1,1,1,1,1,1,1,fb529603f449e5ec5c75eefed5b87656b605ad833802db7373680ee74c85d388
38,31,5,SO-P0031-R05,1,1,1,1,1,1,1,1,1,1,2ad4211c7f732dd0d9fb4993b4581608d8f26cd490774e771b00c51b859b5051
41,32,1,SO-P0032-R01,1,1,1,1,1,1,1,1,1,1,f735f332806d4567310ce9e7644957a022726a3e54a8472e4ab8234ced4c9239
41,32,2,SO-P0032-R02,1,1,1,1,1,1,1,1,1,1,0873cf9f262daf940116a4b7f5327fd819cc6547d5107aabb0ab00cd1979b2b3
41,32,3,SO-P0032-R03,1,1,1,1,1,1,1,1,1,1,54aa4ec04c2d1b2766d669ea7c938131ef5d8d3556cda56e978917cddcfb03c1
41,32,4,SO-P0032-R04,1,1,1,1,1,1,1,1,1,1,48224f0ca14c55011c1bfd4ac8e6a7f923505360f637a58eac54fd09b61a1db1
41,32,5,SO-P0032-R05,1,1,1,1,1,1,1,1,1,1,73c1d03f2a16682e4d1bc217bbb68570638f862582279234a92177f681cf4bf6
42,33,1,SO-P0033-R01,1,1,1,1,1,1,1,1,1,1,c6b90e8d56b6da3556e9e3799b513a33edf82e89aba4b5abdcb7672f2a1fe4b0
42,33,2,SO-P0033-R02,1,1,1,1,1,1,1,1,1,1,8d273d1e3d83c1d93ba7f2889e48b090e5ee7edec078d16c5892cc41b1275982
42,33,3,SO-P0033-R03,1,1,1,1,1,1,1,1,1,1,828e4e228e580db2030544196210a9ab6583b05db784c93728d386e507bd7d5e
