group,path_id,real_hour_count,first_HTT_hour_gt0,first_meaningful_HTT_hour_ge1kg,first_meaningful_HTT_hour_ge5kg,peak_HTT_hour,peak_HTT_kg,last_HTT_hour,final16h_HTT_kg,final8h_HTT_kg,final4h_HTT_kg,cumulative_HTT_by_-24h_kg,checkpoint_-24h_available,cumulative_HTT_by_-16h_kg,checkpoint_-16h_available,cumulative_HTT_by_-8h_kg,checkpoint_-8h_available,cumulative_HTT_by_-4h_kg,checkpoint_-4h_available,cumulative_HTT_by_0h_kg,checkpoint_0h_available
mixed,6960,40,-24,-24,-24,-24,39.7178207199,-8,56.3273525231,29.2591905477,0,0,True,41.9911180987,True,69.0592800741,True,98.3184706218,True,98.3184706218,True
mixed,7091,32,-16,-16,-16,-11,38.9073806297,-6,92.3843510469,36.4409125262,0,0,True,0,True,55.9434385207,True,92.3843510469,True,92.3843510469,True
mixed,7243,40,-8,-1,,-1,4.29681366012,-1,5.23552680337,5.23552680337,4.29681366012,0,True,0,True,0,True,0.938713143256,True,5.23552680337,True
mixed,7392,48,-24,-24,-24,-8,31.548170516,-1,60.4037464483,34.470279916,2.92210939995,0,True,11.6186055156,True,37.5520720479,True,69.100242564,True,72.0223519639,True
mixed,7458,32,-16,-16,,-16,1.38627250897,-16,1.38627250897,0,0,0,True,0,True,1.38627250897,True,1.38627250897,True,1.38627250897,True
mixed,7463,24,-8,-8,-1,-1,15.8120728413,-1,20.0813157459,20.0813157459,15.8120728413,0,True,0,True,0,True,4.26924290461,True,20.0813157459,True
mixed,7541,32,-16,-16,-16,-16,39.7178207199,-6,72.2068088853,30.2156907866,0,0,True,0,True,41.9911180987,True,72.2068088853,True,72.2068088853,True
mixed,7564,48,-24,-24,-24,-24,25.0295115044,-1,61.9830196956,23.7416042483,2.15068229649,0,True,30.5042687153,True,68.7456841626,True,90.3366061144,True,92.4872884108,True
mixed,7623,32,-16,-16,-16,-16,41.3344625162,-1,67.1851143235,25.2811848131,12.946721936,0,True,0,True,41.9039295104,True,54.2383923875,True,67.1851143235,True
mixed,7669,32,-22,-22,-22,-8,43.4376104425,-8,70.2760715173,43.4376104425,0,0,True,46.0223787977,True,72.8608398725,True,116.298450315,True,116.298450315,True
mixed,7687,32,-16,-16,,-16,1.85043145918,-16,1.85043145918,0,0,0,True,0,True,1.85043145918,True,1.85043145918,True,1.85043145918,True
mixed,7697,24,-8,-8,-8,-8,27.2647665939,-8,27.2647665939,27.2647665939,0,0,True,0,True,0,True,27.2647665939,True,27.2647665939,True
mixed,7786,32,-13,-13,-8,-8,19.6495245081,-3,31.0299826624,28.6804822967,9.03095778864,0,True,0,True,2.34950036567,True,21.9990248738,True,31.0299826624,True
mixed,7862,32,-16,-16,-16,-16,23.4696747396,-8,46.1094246487,6.38852601959,0,0,True,0,True,39.7208986291,True,46.1094246487,True,46.1094246487,True
mixed,7986,40,-24,-24,-24,-24,21.8980539775,-1,43.5504575517,26.1766749262,5.60614726993,0,True,21.8980539775,True,39.271836603,True,59.8423642593,True,65.4485115292,True
mixed,8055,40,,,,-40,0,,0,0,0,0,True,0,True,0,True,0,True,0,True
