pair_id,group_type,initial_state_id,rank,site_id,node_id,local_Ctilde_difference,A_r,A_s,C_r_km,C_s_km,D_r_kg,D_s_kg
21,TIER1,21,8,4,22,0.0276603586480278,1,1,40.2866731834127,50.1656434290572,9.81916373455527,9.81916373455527
21,TIER1,21,9,4,21,0.0275272778385734,1,1,35.2228749127756,45.0543149953591,9.81916373455527,9.81916373455527
21,TIER1,21,10,4,20,0.0274495183068323,1,1,32.0899928188377,41.8936608790061,9.81916373455527,9.81916373455527
22,TIER1,21,1,2,1,1,0,1,NaN,42.65442847055,0,0
22,TIER1,21,2,2,2,1,0,1,NaN,37.8305327142636,0,0
22,TIER1,21,3,2,3,1,0,1,NaN,33.6498668717403,0,0
22,TIER1,21,4,2,4,1,0,1,NaN,36.3242988830588,13.0922183127404,13.0922183127404
22,TIER1,21,5,1,5,1,0,1,NaN,13.1416332609873,6.54610915637018,6.54610915637018
22,TIER1,21,6,1,6,1,0,1,NaN,15.6741354395011,6.54610915637018,6.54610915637018
22,TIER1,21,7,1,7,1,0,1,NaN,18.2489925915132,21.8203638545673,21.8203638545673
22,TIER1,21,8,1,8,1,0,1,NaN,37.1033323780864,21.8203638545673,21.8203638545673
22,TIER1,21,9,1,9,1,0,1,NaN,34.3958457723475,6.54610915637018,6.54610915637018
22,TIER1,21,10,1,10,1,0,1,NaN,31.6348353325832,6.54610915637018,6.54610915637018
23,TIER1,21,1,1,1,1,0,1,NaN,24.735898784928,0,0
23,TIER1,21,2,1,2,1,0,1,NaN,19.2277625871497,16.3652728909255,16.3652728909255
23,TIER1,21,3,1,3,1,0,1,NaN,9.30265850691656,14.7287456018329,14.7287456018329
23,TIER1,21,4,1,4,1,0,1,NaN,12.1132105281492,19.6383274691105,19.6383274691105
23,TIER1,21,5,1,5,1,0,1,NaN,14.9664314464462,9.81916373455527,9.81916373455527
23,TIER1,21,6,1,6,1,0,1,NaN,17.8668976257699,9.81916373455527,9.81916373455527
23,TIER1,21,7,1,7,1,0,1,NaN,20.7193194596466,32.7305457818509,32.7305457818509
23,TIER1,21,8,1,8,1,0,1,NaN,35.0620308920821,32.7305457818509,32.7305457818509
23,TIER1,21,9,1,9,1,0,1,NaN,37.7033510121638,9.81916373455527,9.81916373455527
23,TIER1,21,10,1,10,1,0,1,NaN,40.2945697371671,9.81916373455527,9.81916373455527
24,CONTROL,21,1,1,4,1,0,1,NaN,11.6158758191672,13.0922183127404,13.0922183127404
24,CONTROL,21,2,2,4,1,0,1,NaN,30.44502773694,13.0922183127404,13.0922183127404
24,CONTROL,21,3,3,4,1,0,1,NaN,30.2206687625811,13.0922183127404,13.0922183127404
24,CONTROL,21,4,1,5,1,0,1,NaN,45.9494550574176,6.54610915637018,6.54610915637018
24,CONTROL,21,5,2,5,1,0,1,NaN,20.0918103335654,6.54610915637018,6.54610915637018
24,CONTROL,21,6,3,5,1,0,1,NaN,19.8674513592064,6.54610915637018,6.54610915637018
24,CONTROL,21,7,1,6,1,0,1,NaN,43.1411948087322,6.54610915637018,6.54610915637018
24,CONTROL,21,8,2,6,1,0,1,NaN,17.2835500848801,6.54610915637018,6.54610915637018
24,CONTROL,21,9,3,6,1,0,1,NaN,17.0591911105211,6.54610915637018,6.54610915637018
24,CONTROL,21,10,1,21,1,1,0,21.3600435033374,NaN,9.81916373455527,9.81916373455527
