method,path_id,decision_stage,current_k,current_a,current_loc,current_lf,node_oos_path_count,node_oos_frequency,future_terminal_state_count,realized_terminal_state_probability,conditional_max_site_target_range_kg,site,archived_inventory_kg,realized_terminal_target_kg,node_conditional_mean_target_kg,saved_cut_count,active_cut_count,active_cut_rhs,chosen_active_cut_local_index,chosen_active_cut_source_iteration,chosen_marginal_value_of_1kg_inventory,chosen_marginal_value_rank,active_marginal_value_min,active_marginal_value_max,active_marginal_value_mean,envelope_update_count,last_envelope_update_iteration,iterations_since_last_envelope_update,last_forward_node_match,training_iteration_count,training_time_seconds,stop_flag,completed_backward_iterations
saa,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,1,242.44798089366,231.297621603105,253.982905705253,1112,4,19209.7302637052,653,653,374.621538461539,3,374.621538461539,639.282624006165,482.080734775117,18,653,459,0,1113,3603.05237,2,1112
saa,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,2,128.292299710436,121.918688071935,128.962001598179,1112,4,19209.7302637052,653,653,524.152526632378,2,524.14297270981,527.499240970696,525.146098354002,18,653,459,0,1113,3603.05237,2,1112
saa,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,3,31.3246332137212,50.0952851168181,48.172334472842,1112,4,19209.7302637052,653,653,579.093736085066,1,429.321084652057,586.140416742125,517.872271924712,18,653,459,0,1113,3603.05237,2,1112
saa,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,4,149.83018769188,139.650041540419,140.195852657213,1112,4,19209.7302637052,653,653,97.0225912372378,4,97.0225912372378,620.548717626727,477.510378585158,18,653,459,0,1113,3603.05237,2,1112
saa,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,1,246.57015587618,231.297621603105,237.251710425876,1112,4,25385.132958769,746,746,560,3,560,764,659.28,13,746,366,0,1113,3603.05237,2,1112
saa,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,2,118.962913784611,121.918688071935,103.569493588837,1112,4,25385.132958769,746,746,752.16,1,482.88,752.16,617.52,13,746,366,0,1113,3603.05237,2,1112
saa,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,3,38.5341262410166,50.0952851168181,37.288531810639,1112,4,25385.132958769,746,746,596.72,2,596.72,866,664.04,13,746,366,0,1113,3603.05237,2,1112
saa,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,4,147.827905607889,139.650041540419,121.287317552971,1112,4,25385.132958769,746,746,-0,4,-0,764,573,13,746,366,0,1113,3603.05237,2,1112
saa,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,1,259.063054646558,231.297621603105,250.040318225551,1112,5,5067.35427606737,571,571,214.001480190063,1,102.886373930561,331.860805353517,243.561067215723,11,571,541,0,1113,3603.05237,2,1112
saa,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,2,124.387756636496,121.918688071935,111.980454087743,1112,5,5067.35427606737,571,571,133.233924578301,3,88.8028449143999,344.489841216602,225.249472941093,11,571,541,0,1113,3603.05237,2,1112
saa,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,3,44.1838597563212,50.0952851168181,43.7334374353016,1112,5,5067.35427606737,571,571,21.1837526011578,4,21.1837526011578,297.171380625244,196.106020786102,11,571,541,0,1113,3603.05237,2,1112
saa,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,4,148.688541972386,139.650041540419,130.422492786891,1112,5,5067.35427606737,571,571,169.725827238325,2,95.9647679203579,328.6117075789,200.038592914291,11,571,541,0,1113,3603.05237,2,1112
saa,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,1,241.566839956972,231.297621603105,247.782983974875,1112,3,47936.8751672186,653,653,861.92,3,861.92,1679.28,1225.94666666667,13,653,459,0,1113,3603.05237,2,1112
saa,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,2,128.349703261498,121.918688071935,133.327755917618,1112,3,47936.8751672186,653,653,1362.24,2,1362.24,1362.24,1362.24,13,653,459,0,1113,3603.05237,2,1112
saa,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,3,31.9785582912265,50.0952851168181,49.8042348151892,1112,3,47936.8751672186,653,653,1536.48,1,1197.84,1536.48,1423.6,13,653,459,0,1113,3603.05237,2,1112
saa,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,4,150,139.650041540419,147.785758179753,1112,3,47936.8751672186,653,653,-0,4,-0,1679.28,1114.48,13,653,459,0,1113,3603.05237,2,1112
