method,state,stage,site,OOS_count,active_path_share,terminal_event_path_share,mean_start_inventory_kg,mean_end_inventory_kg,median_end_inventory_kg,mean_production_kg,mean_prod_utilization,mean_storage_utilization,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_terminal_target_kg,mean_terminal_gap_kg
chi2_eta003,18,4,2,55,0.854545454545454,0.145454545454545,88.9164442177456,97.4823870569362,97.1716102923154,18.538514666933,0.927094295945914,0.487411935284681,0.734048560135516,2.71597967250141,0.174131143103715,9.41265441071068,-9.23852326760697,18.1137844976973,5.85094770442203
chi2_eta003,18,4,3,55,0.854545454545454,0.145454545454545,32.6322628418952,32.145375571885,28.3643588926195,11.1205027597638,0.92687708642027,0.32145375571885,1.07221486606129,3.96719500442676,0.0850925991788225,10.6202677628915,-10.5351751637127,6.50643571798557,2.87165248424625
chi2_eta003,18,4,4,55,0.854545454545454,0.145454545454545,82.9968951283976,104.757858470101,101.525074402862,14.9972727272727,1,0.698385723134009,0.650281561970259,2.93693775443383,7.41397217640132,0,7.41397217640132,21.8181818181818,7.52716949885687
chi2_eta003,18,5,1,47,0.51063829787234,0.48936170212766,212.145465699785,227.486719086143,231.297621603105,17.9234042553192,1,0.758289063620476,0.326819746755211,2.28773822728648,0.585222251559001,2.84055337376474,-2.25533112220573,123.662814701745,16.3286716701829
chi2_eta003,18,5,2,47,0.51063829787234,0.48936170212766,99.7250056276883,108.800792341226,107.834441509785,11.8043928513465,0.987903247886906,0.54400396170613,0.355206588988703,2.6198165377458,0.118104690484738,2.49150423930477,-2.37339954882003,60.9413228446465,10.1792486160452
chi2_eta003,18,5,3,47,0.51063829787234,0.48936170212766,33.3634591191066,38.3912681439302,39.5928965455977,7.08625702776533,0.988408357980089,0.383912681439302,0.15001322320714,0.659755343616186,0.193117191984018,2.10155197171866,-1.90843477973464,21.8900031469461,4.73273491802557
chi2_eta003,18,5,4,47,0.51063829787234,0.48936170212766,105.865458261547,121.193276407545,122.192673667445,8.96170212765958,1,0.807955176050301,0.171049432421776,1.293496354975,6.53716545076041,0,6.53716545076041,73.4042553191489,17.545048467699
chi2_eta003,18,6,1,24,0.166666666666667,0.833333333333333,235.298794773555,239.334436885286,234.531627132872,5.85,1,0.797781456284286,1.90454615537074,1.44373865618421,0.661610665470075,0.571422398367929,0.0901882671021458,210.585227934131,14.0540676301285
chi2_eta003,18,6,2,24,0.166666666666667,0.833333333333333,113.586969621491,114.654817668892,106.576586376593,3.67695469316548,0.942808895683455,0.57327408834446,1.53183229813665,0.51061076604555,0,1.07727434762771,-1.07727434762771,103.776890351391,12.4797959196444
chi2_eta003,18,6,3,24,0.166666666666667,0.833333333333333,41.0587167317311,42.7332266511776,40.7540961300273,2.34,1,0.427332266511776,0.88655951047143,0.29551983682381,0.336551671939607,0.115482242021638,0.221069429917969,37.2764546342923,4.59251458612381
chi2_eta003,18,6,4,24,0.166666666666667,0.833333333333333,127.94588621402,130.501586777766,122.192673667446,2.65271189853804,0.906910050782236,0.870010578518443,0.863027985398925,0.863027985398925,1.02634153613385,0.260324885526252,0.766016650607594,125,17.9184559252904
chi2_eta003,18,7,1,4,0,1,254.67840836822,254.67840836822,253.718157929162,0,,0.848928027894066,0,0,0,0,0,252.702273520957,9.8938245764842
chi2_eta003,18,7,2,4,0,1,125.235735561507,125.235735561507,130.063448354512,0,,0.626178677807533,0,0,0,0,0,124.532268421669,7.04375335443602
chi2_eta003,18,7,3,4,0,1,52.3196180196051,52.3196180196051,51.4048743938326,0,,0.523196180196051,0,0,0,0,0,44.7317455611508,1.67683748511925
chi2_eta003,18,7,4,4,0,1,140.520256218341,140.520256218341,144.944175602959,0,,0.936801708122272,0,0,0,0,0,150,9.4797437816592
chi2_eta003,19,1,1,44,1,0,58.0445570448695,88.0243810123712,88.0243810123712,35.1,1,0.293414603374571,5.12017603249831,0,0,0,0,0,0
chi2_eta003,19,1,2,44,1,0,50.3081379386248,67.882050982103,67.882050982103,23.4,1,0.339410254910515,5.82608695652174,0,0,0,0,0,0
chi2_eta003,19,1,3,44,1,0,25.2621334423093,37.7163366656137,37.7163366656137,14.04,1,0.377163366656137,1.58579677669568,0,0,0,0,0,0
chi2_eta003,19,1,4,44,1,0,33.0235808462428,47.7055120125908,47.7055120125908,17.55,1,0.318036746750605,2.86806883365201,0,0,0,0,0,0
chi2_eta003,19,2,1,44,1,0,88.0243810123712,120.647575294788,103.034672143041,35.1,1,0.40215858431596,13.697528774543,6.39218009478672,11.2207230569597,0,11.2207230569597,0,0
chi2_eta003,19,2,2,44,1,0,67.882050982103,77.408540339417,79.0273925970099,23.4,1,0.387042701697085,8.35544889892718,3.89920948616602,0,5.51806174375887,-5.51806174375887,0,0
chi2_eta003,19,2,3,44,1,0,37.7163366656137,36.3372518151372,44.6638605818422,14.04,1,0.363372518151372,4.83577914802598,2.25669693574546,0,10.5833057024505,-10.5833057024505,0,0
chi2_eta003,19,2,4,44,1,0,47.7055120125908,63.0750183394856,54.8991761878037,17.55,1,0.420500122263237,7.06113806235484,3.29519776243226,4.88064438924965,0,4.88064438924965,0,0
chi2_eta003,19,3,1,44,1,0,120.647575294788,169.858713915842,174.095834189614,35.1,1,0.566195713052807,6.39768111035885,15.256008801625,21.0170398082648,0.508220076851636,20.5088197314132,0,0
chi2_eta003,19,3,2,44,1,0,77.408540339417,87.0356298670445,88.5454050193701,23.4,1,0.435178149335223,4.10149632975718,9.78049124788252,0.265759535494816,9.93717367811006,-9.67141414261525,0,0
chi2_eta003,19,3,3,44,1,0,36.3372518151372,32.1368417379823,29.2419714716128,14.04,1,0.321368417379823,2.48907022478513,5.93547515141069,0.24246054135682,15.9938003937265,-15.7513398523697,0,0
